,id,brand,name_korean,wish_count,review_count,change_percentage,change_value,highest_bid,last_sale_price,lowest_ask,market_price,pricepremium,pricepremium_percentage,total_sales,min_size,max_size,colorway,date_released,gender,local_price,local_price_currency,local_price_with_currency,name,original_price,original_price_currency,original_price_with_currency,style_code
561,39148,Nike,나이키 x 오프화이트 덩크 로우 더 50 - 로트 24,136,1,27.2727,150000,,700000,990000,700000,484800,225.279,2,230,320,WHITE/NEUTRAL GREY,2021-08-09T00:00:00Z,men,226500,KRW,"226,500원",Nike x Off-White Dunk Low The 50 - Lot 24,180,USD,$180 ,DM1602-119
562,39139,Nike,나이키 x 오프화이트 덩크 로우 더 50 - 로트 15,91,0,48.1481,260000,550000,800000,1777000,800000,580500,264.465,3,230,320,Sail/Neutral Grey,2021-08-09T00:00:00Z,men,226500,KRW,"226,500원",Nike x Off-White Dunk Low The 50 - Lot 15,180,USD,$180 ,DJ0950-101
563,39137,Nike,나이키 x 오프화이트 덩크 로우 더 50 - 로트 13,129,4,-10.7692,-70000,550000,580000,840000,580000,366600,171.79,4,230,320,Sail/Neutral Grey,2021-08-09T00:00:00Z,men,226500,KRW,"226,500원",Nike x Off-White Dunk Low The 50 - Lot 13,180,USD,$180 ,DJ0950-110
564,39134,Nike,나이키 x 오프화이트 덩크 로우 더 50 - 로트 10,112,4,4.96454,35000,635000,740000,700000,740000,513400,226.567,2,230,320,Sail/Neutral Grey,2021-08-09T00:00:00Z,men,226500,KRW,"226,500원",Nike x Off-White Dunk Low The 50 - Lot 10,180,USD,$180 ,DM1602-112
565,39133,Nike,나이키 x 오프화이트 덩크 로우 더 50 - 로트 9,38,0,,,500000,,660000,,,,0,230,320,Sail/Neutral Grey,2021-08-09T00:00:00Z,men,,KRW,,Nike x Off-White Dunk Low The 50 - Lot 9,219000,KRW,"219,000원",DM1602-109
566,39129,Nike,나이키 x 오프화이트 덩크 로우 더 50 - 로트 5,30,0,,,500000,,1000000,,,,0,230,320,Sail/Neutral Grey,2021-08-09T00:00:00Z,men,,KRW,,Nike x Off-White Dunk Low The 50 - Lot 5,219000,KRW,"219,000원",DM1602-113
567,39127,Nike,나이키 x 오프화이트 덩크 로우 더 50 - 로트 3,20,0,,,440000,,950000,,,,0,230,320,Sail/Neutral Grey,2021-08-09T00:00:00Z,men,,KRW,,Nike x Off-White Dunk Low The 50 - Lot 3,219000,KRW,"219,000원",DM1602-118
568,38186,Nike,(GS) 나이키 덩크 로우 레트로 챔피언쉽 레드,570,6,-3.4749,-9000,80000,250000,300000,250000,,,47,225(3.5Y),250(7Y),University Red/White-Total Orange,2021-07-30T00:00:04Z,kids,,KRW,,(GS) Nike Dunk Low Retro Championship Red,,,,CW1590-600
569,42964,Nike,(GS) 나이키 덩크 하이 닉스,6,0,0.628931,1000,96000,160000,160000,160000,50900,46.6544,2,225(3.5Y),250(7Y),Black/Game Royal/Bright Crimson/White,2021-07-16T00:00:00Z,kids,113200,KRW,"113,200원",(GS) Nike Dunk High Knicks,90,USD,$90 ,DB2179-001
570,38634,Nike,(W) 나이키 덩크 로우 디스럽트 캑터스 플라워,376,2,-5.02513,-10000,,189000,300000,189000,48400,34.4239,20,220,290,WHITE/CACTUS FLOWER-WHITE,2021-07-01T00:00:00Z,women,138400,KRW,"138,400원",(W) Nike Dunk Low Disrupt Cactus Flower,110,USD,$110 ,DN5065-100
